南瓜子|红宝书必考词U13带背笔记,,,,,
单词,词性,常见含义,考研高频考法,自测例句,巧记方法（仅供参考）
mediate,v.,调解；斡旋,涉及冲突或分歧的调解场景，如mediate a dispute（调解争端）；也可表示介于两者之间，如mediate between two extremes（介于两个极端之间）,He helped mediate between the two sides.,词根medi表示中间（想成middle），-ate为动词后缀，意为在中间做→ 调解、斡旋
meditation,n.,冥想；深思,常与心理、哲学话题相关，如practice meditation（练习冥想）；也可指对问题的深入思考，如meditation on life（对人生的沉思）,Meditation helps reduce stress.,由mediate（调解）延伸，-tion表名词，强调内心的调解、沉思→ 冥想、深思
medium,n./adj.,媒介；中等的,指传播媒介时，如mass medium（大众媒介）；表示中等的时，常修饰尺寸、程度等，如medium size（中等尺寸）,Use the right medium for your message.,词根medi（中间）+-um（名词后缀）→ 中间物→ 媒介；也指中等的
media,n.,媒体（复数）,高频考查新闻媒体相关搭配，如mass media（大众媒体）、media coverage（媒体报道），常出现在社会类阅读文章中,The media reported the incident.,medium的复数形式，聚焦传播的中间载体→ 媒体、新闻媒介
elaborate,adj./v.,详尽的；精心制作；详细说明,作动词时，如elaborate on a theory（详细阐述理论）；作形容词时，修饰计划、设计等，如an elaborate plan（详尽的计划）,She elaborated on her plan.,词根labor（劳动）→ 付出大量劳动做→ 精心制作；详细阐述
elegant,adj.,优雅的；简洁的,可形容人、服饰或艺术、语言等，如an elegant lady（优雅的女士）、elegant prose（简练的散文），常出现在文化类文本中,She wore an elegant dress.,leg是腿，想到一个人，连腿部走路姿势也很elegant（优雅）
element,n.,元素；要素,指基本要素时，如elements of success（成功的要素）；也可指化学元素，如chemical elements（化学元素）,Oxygen is a chemical element.,联想ele（谐音‘爱了’）+ment→ 基础的东西才让人爱了→ 元素、要素
elementary,adj.,基础的；初级的,常修饰学科、知识等，如elementary education（基础教育）、elementary principles（基本原理）,He made an elementary mistake.,element（要素）+-ary（…的）→ 关于基本要素的→ 基础的、初级的
eliminate,v.,消除；淘汰,高频考查消除、排除含义，如eliminate poverty（消除贫困）、eliminate errors（排除错误）；也可指比赛中的淘汰，如be eliminated in the first round（首轮被淘汰）,He was eliminated from the contest.,词根limin（界限）+e-（出）+-ate→ 使出界限→ 排除、消除
abolish,v.,废除；取消,常与制度、政策搭配，如abolish slavery（废除奴隶制）、abolish a law（废止法律），多出现在历史或社会变革类文章中,They abolished the tax.,谐音啊，罢了市→ 市场停办了→ 废除、废止（制度等）
absence,n.,缺席；缺乏,常与介词from搭配，如absence from school（缺课）；表示缺乏时，如absence of evidence（缺乏证据）,There was silence in his absence.,absent（缺席的）去t加-ence（名词后缀）→ 缺席、缺乏
absent,adj.,缺席的；心不在焉的,作缺席的时，如be absent from the meeting（缺席会议）；作缺乏的时，如absent in enthusiasm（缺乏热情）,She looked absent-minded.,词根ab-（离开）+sent（存在）→ 离开存在的状态→ 缺席的、不在的
abroad,adv.,在国外；到处,常与动词搭配表示出国，如study abroad（出国留学）、travel abroad（出国旅行）；也可指在海外的，如abroad students（留学生）,He lived abroad for years.,a-（在）+broad（广阔）→ 在广阔的地方→ 到国外（强调范围广）
absolute,adj.,完全的；绝对的,强调绝对、毫无例外，如absolute freedom（绝对自由）、absolute trust（完全信任）；也可指绝对真理等抽象概念,She has absolute trust in him.,常考absolutely（当然了，绝对了）！副词形式
absorb,v.,吸收；吸引,常考吸收（液体、知识等），如absorb knowledge（吸收知识）；全神贯注常用be absorbed in（专注于），如be absorbed in research（专注于研究）,The sponge absorbs water.,记住be absorbed in（专注于）
abstract,adj./n./v.,抽象的；摘要；提取,作形容词时，如abstract concepts（抽象概念）；作名词摘要时，如an abstract of a paper（论文摘要），常出现在学术场景中,He abstracts key points from text.,ab-（离开）+tract（拉）→ 从具体中拉出来→ 抽象的；摘要（提炼出的核心）
